no,Nama,Alamat,Latitude,Longtitude,Kode_Pos,Luas,Kapasitas,Keterangan_Lantai,Kode_Wilayah_1,Kode_Wilayah_2,Link_Maps,Jenis_Bencana
37,PMI Cilacap,"Jl. Urip Sumoharjo No.174, Cilumpang, Gumilir, North Cilacap, Cilacap Regency, Central Java 53274",-7.6806311,109.0504556,542201,324,1080,Lantai 2,3301730002,3301730,https://goo.gl/maps/8dG4ahT6DxhT5oPx5,Tsunami dan Banjir
38,SMA Yos Sudarso,"Jl. Jend. Ahmad Yani No.54, Dafam Cilacap, Sidakaya, Kec. Cilacap Sel., Kabupaten Cilacap, Jawa Tengah 53211",-7.7338135,109.0096785,0,0,850,Lantai 2,3301710003,3301710,https://goo.gl/maps/thVun6Q6gjUQjJf48,Tsunami dan Banjir
39,Rumah Sakit Aprilia,Jl. Gatot Subroto,-7.712523,109.01679,0,0,0,0,3301720004,3301720,https://goo.gl/maps/PHJXArn4XSAfeHBi6,"Angin kencang, Tanah longsor, dan Gempa bumi"
40,Balai Desa Panulisan Barat,"Batubutut, Panulisan Bar., Kec. Dayeuhluhur, Kabupaten Cilacap, Jawa Tengah 53266",-7.30311,108.573078,0,0,0,-,3301010001,3301010,https://goo.gl/maps/vTDFGMJQiAKL7CFb6,"Angin kencang, Tanah longsor, dan Gempa bumi"
41,Balai Desa Panulisan,"Panulisan, Kec. Dayeuhluhur, Kabupaten Cilacap, Jawa Tengah 53266",-7.307873,108.580217,0,0,0,-,3301010002,3301010,https://goo.gl/maps/RDsmXTXKZWsfvJHB7,"Angin kencang, Tanah longsor, dan Gempa bumi"
42,Balai Desa Panulisan Timur,"Tim., Cimanceung, Panulisan Tim., Kec. Dayeuhluhur, Kabupaten Cilacap, Jawa Tengah 53266",-7.30256,108.599943,0,0,0,-,3301010003,3301010,https://goo.gl/maps/hj4SjwLW1XqJyoeD6,"Angin kencang, Tanah longsor, dan Gempa bumi"
43,Balai Desa Karangrena,"Jl. Rajawali, Karangrena, Kec. Maos, Kabupaten Cilacap, Jawa Tengah 53272",-7.607614387,109.1286205,\\N,0,0,\\N,3301160004,3301160,https://goo.gl/maps/CNz2h88Dyu52GyBF9,"Angin kencang, Tanah longsor, dan Gempa bumi"
44,Balai Desa Maos Kidul,"Tegong, Maos Kidul, Kec. Maos, Kabupaten Cilacap, Jawa Tengah 53272",-7.607706169,109.1458109,\\N,0,0,\\N,3301160005,3301160,https://goo.gl/maps/oAoCGixVsFXmVToJ6,"Angin kencang, Tanah longsor, dan Gempa bumi"
45,Balai Desa Maos Lor,"Jl. Wates Timur, Lancar, Maos Lor, Kec. Maos, Kabupaten Cilacap, Jawa Tengah 53272",-7.593684279,109.1481188,\\N,0,0,\\N,3301160006,3301160,https://goo.gl/maps/Ts6uQqvTMKyL8Pmv9,"Angin kencang, Tanah longsor, dan Gempa bumi"
46,Balai Desa Kalijaran,"Kalijaran, Kec. Maos, Kabupaten Cilacap, Jawa Tengah 53272",-7.610311337,109.1700748,\\N,0,0,\\N,3301160007,3301160,https://goo.gl/maps/KuDg1Bbmv1DL1f3G9,"Angin kencang, Tanah longsor, dan Gempa bumi"
47,Balai Desa Mernek,"Jl. Mersik, Mernek, Kec. Maos, Kabupaten Cilacap, Jawa Tengah 53272",-7.612390119,109.1794118,\\N,0,0,\\N,3301160008,3301160,https://goo.gl/maps/sfGsffPfK8F4K3VF6,"Angin kencang, Tanah longsor, dan Gempa bumi"
48,Balai Desa Penisihan,"Penisihan, Panisihan, Kec. Maos, Kabupaten Cilacap, Jawa Tengah 53272",-7.585280064,109.1576929,\\N,0,0,\\N,3301160009,3301160,https://goo.gl/maps/Ww397HRsWDkD3ntAA,"Angin kencang, Tanah longsor, dan Gempa bumi"
49,Balai Desa Glempang,"Jalan Raya, Glempang Tengah, Glempang, Kec. Maos, Kabupaten Cilacap, Jawa Tengah 53272",-7.577773384,109.1672232,\\N,0,0,\\N,3301160010,3301160,https://goo.gl/maps/A3NcKx4LZ5pDeU6H9,"Angin kencang, Tanah longsor, dan Gempa bumi"
50,Balai Desa Paketingan,"Jl. Margomulyo, Paketingan, Kec. Sampang, Kabupaten Cilacap, Jawa Tengah 53273",-7.583416243,109.1854239,\\N,0,0,\\N,3301170001,3301170,https://goo.gl/maps/RyWLF9HqCmcK2umV7,"Angin kencang, Tanah longsor, dan Gempa bumi"
51,Balai Desa Ketanggung,"Jl. Raya Sampang Sikampuh No.16, Ketanggung, Kec. Sampang, Kabupaten Cilacap, Jawa Tengah 53282",-7.602318578,109.1984939,\\N,0,0,\\N,3301170002,3301170,https://goo.gl/maps/7X8XBTxUW8ij1U5z9,"Angin kencang, Tanah longsor, dan Gempa bumi"
52,Balai Desa Nusajati,"Tinggarmalang, Nusajati, Kec. Sampang, Kabupaten Cilacap, Jawa Tengah 53282",-7.597090701,109.1991133,\\N,0,0,\\N,3301170003,3301170,https://goo.gl/maps/coUF3CMw9cnZaWJK7,"Angin kencang, Tanah longsor, dan Gempa bumi"
53,Balai Desa Paberasan,"Gununglaban, Paberasan, Kec. Sampang, Kabupaten Cilacap, Jawa Tengah 53282",-7.588606145,109.2306704,\\N,0,0,\\N,3301170004,3301170,https://goo.gl/maps/tGvEYhb3Fee782TQ6,"Angin kencang, Tanah longsor, dan Gempa bumi"
54,Balai Desa Karangjati,"Jl. Kapten Sukardan, Karangjati, Kec. Sampang, Kabupaten Cilacap, Jawa Tengah 53282",-7.581200895,109.2224442,\\N,0,0,\\N,3301170005,3301170,https://goo.gl/maps/1CbbJNtUUeGpUXd76,"Angin kencang, Tanah longsor, dan Gempa bumi"
55,Balai Desa Sidasari,"Jl. Sidamulya No.2, RT.08/RW.03, Sidasari, Kec. Sampang, Kabupaten Cilacap, Jawa Tengah 53273",-7.576864044,109.201582,\\N,0,0,\\N,3301170006,3301170,https://goo.gl/maps/9MjyeGd8QjrX8z4n7,"Angin kencang, Tanah longsor, dan Gempa bumi"
56,Balai Desa Karangasem,"Jl. Tipar, Karangasem, Kec. Sampang, Kabupaten Cilacap, Jawa Tengah 53273",-7.569695039,109.208944,\\N,0,0,\\N,3301170007,3301170,https://goo.gl/maps/cnH12yEzUSEnLPut8,"Angin kencang, Tanah longsor, dan Gempa bumi"
57,Balai Desa Sampang,"Jl. Gerilya No.57, Sampang Selatan, Sampang, Kec. Sampang, Kabupaten Cilacap, Jawa Tengah 53273",-7.56620612,109.2003484,\\N,0,0,\\N,3301170008,3301170,https://goo.gl/maps/DzLib3uG4t5gs32WA,"Angin kencang, Tanah longsor, dan Gempa bumi"
58,Balai Desa Karangtengah,"Jalur Gumilir  Purwokerto, Karangtengah, Kec. Sampang, Kabupaten Cilacap, Jawa Tengah 53273",-7.56453568,109.1887555,\\N,0,0,\\N,3301170009,3301170,https://goo.gl/maps/WiMS36YQrb1FADoQ9,"Angin kencang, Tanah longsor, dan Gempa bumi"
59,Balai Desa Brani,"Jl. Gerilya, Brani, Kec. Sampang, Kabupaten Cilacap, Jawa Tengah 53273",-7.558308463,109.1778585,\\N,0,0,\\N,3301170010,3301170,https://goo.gl/maps/pY5Wyx1DGSoHMFfS7,"Angin kencang, Tanah longsor, dan Gempa bumi"
